INSERT INTO beszerzes (`termek_min_id`, `termek_kiszerel`, `user_id`, `beszerzes_mennyiseg`, `beszerzes_datum`, `beszerzes_megrendelt`, `beszerzes_teljesites`, `beszerzes_modosit`, `beszerzes_erveny`) VALUES 
(93, 100, 3, 15, '2017-12-12', 1, '2017-12-23', 3, 0),
(93, 250, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(94, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(94, 250, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(95, 100, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(95, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(95, 500, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(96, 100, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(97, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(97, 250, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(98, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(98, 250, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(98, 500, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(99, 100, 3, 26, '2017-12-12', 1, '2017-12-23', 3, 0),
(99, 250, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(99, 500, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(100, 100, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(100, 250, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(101, 100, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(101, 250, 3, 4, '2017-12-12', 1, '2017-12-23', 3, 0),
(102, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(103, 100, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(103, 250, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(104, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(104, 250, 3, 26, '2017-12-12', 1, '2017-12-23', 3, 0),
(105, 100, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(105, 250, 3, 19, '2017-12-12', 1, '2017-12-23', 3, 0),
(106, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(106, 250, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(107, 100, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(108, 100, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(109, 100, 3, 56, '2017-12-12', 1, '2017-12-23', 3, 0),
(110, 100, 3, 38, '2017-12-12', 1, '2017-12-23', 3, 0),
(110, 250, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(110, 500, 3, 38, '2017-12-12', 1, '2017-12-23', 3, 0),
(111, 100, 3, 33, '2017-12-12', 1, '2017-12-23', 3, 0),
(111, 250, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(112, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(112, 250, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(112, 500, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(113, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(113, 250, 3, 27, '2017-12-12', 1, '2017-12-23', 3, 0),
(113, 500, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(114, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(114, 250, 3, 44, '2017-12-12', 1, '2017-12-23', 3, 0),
(115, 100, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(115, 250, 3, 40, '2017-12-12', 1, '2017-12-23', 3, 0),
(115, 500, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(116, 100, 3, 27, '2017-12-12', 1, '2017-12-23', 3, 0),
(116, 250, 3, 39, '2017-12-12', 1, '2017-12-23', 3, 0),
(117, 100, 3, 32, '2017-12-12', 1, '2017-12-23', 3, 0),
(117, 250, 3, 21, '2017-12-12', 1, '2017-12-23', 3, 0),
(117, 500, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(118, 100, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(118, 250, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(118, 500, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(119, 100, 3, 35, '2017-12-12', 1, '2017-12-23', 3, 0),
(119, 250, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(120, 100, 3, 33, '2017-12-12', 1, '2017-12-23', 3, 0),
(121, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(121, 250, 3, 21, '2017-12-12', 1, '2017-12-23', 3, 0),
(121, 500, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(122, 100, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(122, 250, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(122, 500, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(123, 100, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(123, 250, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(124, 100, 3, 2, '2017-12-12', 1, '2017-12-23', 3, 0),
(124, 250, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(124, 500, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(125, 100, 3, 41, '2017-12-12', 1, '2017-12-23', 3, 0),
(126, 100, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(127, 100, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(127, 250, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(128, 100, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(128, 250, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(128, 500, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(129, 100, 3, 21, '2017-12-12', 1, '2017-12-23', 3, 0),
(129, 250, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(129, 500, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(130, 100, 3, 40, '2017-12-12', 1, '2017-12-23', 3, 0),
(130, 250, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(130, 500, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(131, 100, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(131, 250, 3, 15, '2017-12-12', 1, '2017-12-23', 3, 0),
(131, 500, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(132, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(132, 250, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(132, 500, 3, 2, '2017-12-12', 1, '2017-12-23', 3, 0),
(133, 100, 3, 19, '2017-12-12', 1, '2017-12-23', 3, 0),
(133, 250, 3, 26, '2017-12-12', 1, '2017-12-23', 3, 0),
(134, 100, 3, 0, '2017-12-12', 1, '2017-12-23', 3, 0),
(134, 250, 3, 33, '2017-12-12', 1, '2017-12-23', 3, 0),
(134, 500, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(135, 100, 3, 41, '2017-12-12', 1, '2017-12-23', 3, 0),
(136, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(136, 250, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(136, 500, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(137, 100, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(138, 100, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(138, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(138, 500, 3, 4, '2017-12-12', 1, '2017-12-23', 3, 0),
(139, 100, 3, 4, '2017-12-12', 1, '2017-12-23', 3, 0),
(140, 100, 3, 4, '2017-12-12', 1, '2017-12-23', 3, 0),
(141, 100, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(141, 250, 3, 37, '2017-12-12', 1, '2017-12-23', 3, 0),
(142, 100, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0);
